Assignment_Number, Assignment_URL
1,https://classroom.google.com/u/0/c/MTE0NTQ2MTI0NzNa/a/MTE4MjMzNjM3NjVa/submissions/by-status/and-sort-name/list
2,https://classroom.google.com/u/0/c/MTE0NTQ2MTI0NzNa/a/MTIwMDcxMTc0MTNa/submissions/by-status/and-sort-name/list
3,https://classroom.google.com/u/0/c/MTE0NTQ2MTI0NzNa/a/MTIwMDE3MDU1MTZa/submissions/by-status/and-sort-name/list
4,https://classroom.google.com/u/0/c/MTE0NTQ2MTI0NzNa/a/MTQ0NTEwMTgwNTla/submissions/by-status/and-sort-name/list
5,https://classroom.google.com/u/0/c/MTE0NTQ2MTI0NzNa/a/MTQ0NTAzMTM0MDNa/submissions/by-status/and-sort-name/done
6,https://classroom.google.com/u/0/c/MTE0NTQ2MTI0NzNa/a/MTQ0NTA0OTE3OTFa/submissions/by-status/and-sort-name/list
7,https://classroom.google.com/u/0/c/MTE0NTQ2MTI0NzNa/a/MTQ0NTA3NjgwNTFa/submissions/by-status/and-sort-name/done
8,https://classroom.google.com/u/0/c/MTE0NTQ2MTI0NzNa/a/MTQ0NTA5NDA5NDBa/submissions/by-status/and-sort-last-name/all
9,https://classroom.google.com/c/MTE0NTQ2MTI0NzNa/a/MTQ0NDY5MTUzMjRa/submissions/by-status/and-sort-name/all
10,https://classroom.google.com/c/MTE0NTQ2MTI0NzNa/a/MTQ0NTA2NjU0MjJa/submissions/by-status/and-sort-name/all
11,https://classroom.google.com/c/MTE0NTQ2MTI0NzNa/a/MTQ0NDk5MDc3NTJa/submissions/by-status/and-sort-last-name/all
12,https://classroom.google.com/c/MTE0NTQ2MTI0NzNa/a/MTQ0NTAwMjYwNzNa/submissions/by-status/and-sort-name/all
13,https://classroom.google.com/c/MTE0NTQ2MTI0NzNa/a/MTQ0NTA0NTA4ODda/submissions/by-status/and-sort-name/all
14,https://classroom.google.com/c/MTE0NTQ2MTI0NzNa/a/MTQ0NTAzNjU5ODRa/submissions/by-status/and-sort-last-name/all
15,https://classroom.google.com/c/MTE0NTQ2MTI0NzNa/a/MTQ0NTAyNzcxODRa/submissions/by-status/and-sort-last-name/all
16,https://classroom.google.com/c/MTE0NTQ2MTI0NzNa/a/MTQ0NTEwMTgwODda/submissions/by-status/and-sort-name/all
17,https://classroom.google.com/c/MTE0NTQ2MTI0NzNa/a/MTQ0NTA3OTM3NTVa/submissions/by-status/and-sort-name/all
18,https://classroom.google.com/c/MTE0NTQ2MTI0NzNa/a/MTQ0NTAzNzMzNDha/submissions/by-status/and-sort-name/all
19,https://classroom.google.com/c/MTE0NTQ2MTI0NzNa/a/MTQ0NDk0NzIxMTNa/submissions/by-status/and-sort-name/all
20,https://classroom.google.com/c/MTE0NTQ2MTI0NzNa/a/MTQ0NTA5NTY1NDZa/submissions/by-status/and-sort-name/all
21,https://classroom.google.com/c/MTE0NTQ2MTI0NzNa/a/MTQ1NjgzNjk5OTZa/submissions/by-status/and-sort-name/all
22,https://classroom.google.com/c/MTE0NTQ2MTI0NzNa/a/MTQ1NjgyMzk1Mjla/submissions/by-status/and-sort-name/all
23,https://classroom.google.com/c/MTE0NTQ2MTI0NzNa/a/MTQ1NjgyNTU0OTha/submissions/by-status/and-sort-name/all
24,https://classroom.google.com/c/MTE0NTQ2MTI0NzNa/a/MTQ1Njc4NjEwMzla/submissions/by-status/and-sort-last-name/all
25,https://classroom.google.com/c/MTE0NTQ2MTI0NzNa/a/MTQ1Njc4NjUzMTBa/submissions/by-status/and-sort-name/all
26,https://classroom.google.com/c/MTE0NTQ2MTI0NzNa/a/MTQ1NjYxNzkzNTVa/submissions/by-status/and-sort-name/all
27,https://classroom.google.com/c/MTE0NTQ2MTI0NzNa/a/MTQ1Njc4NjI0MjFa/submissions/by-status/and-sort-name/all
28,https://classroom.google.com/c/MTE0NTQ2MTI0NzNa/a/MTQ1Njc3OTgwNzZa/submissions/by-status/and-sort-name/all
29,https://classroom.google.com/c/MTE0NTQ2MTI0NzNa/a/MTQ1Njg4NTI3OTJa/submissions/by-status/and-sort-name/all
30,https://classroom.google.com/c/MTE0NTQ2MTI0NzNa/a/MTQ1NjcwMDE3NTJa/submissions/by-status/and-sort-name/all
Opt_1,https://classroom.google.com/u/0/c/MTE0NTQ2MTI0NzNa/a/MTE5NTg2Njc2OTBa/submissions/by-status/and-sort-name/list
Opt_2,https://classroom.google.com/u/0/c/MTE0NTQ2MTI0NzNa/a/MTQ0MzQyMzMwNjZa/submissions/by-status/and-sort-name/list
