Assignment_Number, Assignment_URL
1,https://classroom.google.com/u/0/c/MTQ4NDA3NjAyMzRa/a/MTQ4NDA0NTU0MTVa/submissions/by-status/and-sort-name/list
2,https://classroom.google.com/u/0/c/MTQ4NDA3NjAyMzRa/a/MTQ4NDA0NDcyOTla/submissions/by-status/and-sort-name/list
3,https://classroom.google.com/u/0/c/MTQ4NDA3NjAyMzRa/a/MTQ4Mzg1ODk1Mzda/submissions/by-status/and-sort-name/list
4,https://classroom.google.com/u/0/c/MTQ4NDA3NjAyMzRa/a/MTQ4NDA3MDA4ODBa/submissions/by-status/and-sort-name/list
5,https://classroom.google.com/u/0/c/MTQ4NDA3NjAyMzRa/a/MTQ4NDA0NTgxMDRa/submissions/by-status/and-sort-name/all
6,https://classroom.google.com/u/0/c/MTQ4NDA3NjAyMzRa/a/MTQ4NDA3Mjc3Mzha/submissions/by-status/and-sort-name/list
7,https://classroom.google.com/u/0/c/MTQ4NDA3NjAyMzRa/a/MTQ4NDA0ODM3MDFa/submissions/by-status/and-sort-name/done
8,https://classroom.google.com/u/0/c/MTQ4NDA3NjAyMzRa/a/MTQ4Mzk4Nzg0MjFa/submissions/by-status/and-sort-name/done
9,https://classroom.google.com/u/0/c/MTQ4NDA3NjAyMzRa/a/MTQ4NDA3MTY0NDla/submissions/by-status/and-sort-name/list
10,https://classroom.google.com/u/0/c/MTQ4NDA3NjAyMzRa/a/MTQ4NDA0MDMwODZa/submissions/by-status/and-sort-name/list
11,https://classroom.google.com/u/0/c/MTQ4NDA3NjAyMzRa/a/MTQ4NDA2NTQ5MDda/submissions/by-status/and-sort-name/list
12,https://classroom.google.com/u/0/c/MTQ4NDA3NjAyMzRa/a/MTQ4NDA0OTcwNjla/submissions/by-status/and-sort-name/list
13,https://classroom.google.com/u/0/c/MTQ4NDA3NjAyMzRa/a/MTQ4Mzg1ODk1Mzla/submissions/by-status/and-sort-name/list
14,https://classroom.google.com/u/0/c/MTQ4NDA3NjAyMzRa/a/MTQ4NDA0Mjk4NDha/submissions/by-status/and-sort-name/list
15,https://classroom.google.com/u/0/c/MTQ4NDA3NjAyMzRa/a/MTQ4NDA1MDI5MzFa/submissions/by-status/and-sort-name/list
16,https://classroom.google.com/u/0/c/MTQ4NDA3NjAyMzRa/a/MTQ4NDA3MTkwMTZa/submissions/by-status/and-sort-name/list
17,https://classroom.google.com/u/0/c/MTQ4NDA3NjAyMzRa/a/MTQ4NDA1MzI1MzJa/submissions/by-status/and-sort-name/list
18,https://classroom.google.com/u/0/c/MTQ4NDA3NjAyMzRa/a/MTQ4NDAzMjg0NzRa/submissions/by-status/and-sort-name/list
19,https://classroom.google.com/u/0/c/MTQ4NDA3NjAyMzRa/a/MTQ4NDA3MTMwMzha/submissions/by-status/and-sort-name/list
20,https://classroom.google.com/u/0/c/MTQ4NDA3NjAyMzRa/a/MTQ4MzgzOTc4NDRa/submissions/by-status/and-sort-name/list
21,https://classroom.google.com/u/0/c/MTQ4NDA3NjAyMzRa/a/MTQ4NDA2OTA3OTNa/submissions/by-status/and-sort-name/list
22,https://classroom.google.com/u/0/c/MTQ4NDA3NjAyMzRa/a/MTQ4NDA3MjExMjVa/submissions/by-status/and-sort-name/list
23,https://classroom.google.com/u/0/c/MTQ4NDA3NjAyMzRa/a/MTQ4NDA0NjU1NTla/submissions/by-status/and-sort-name/list
24,https://classroom.google.com/u/0/c/MTQ4NDA3NjAyMzRa/a/MTQ4NDA1NjEwNDNa/submissions/by-status/and-sort-name/list
25,https://classroom.google.com/u/0/c/MTQ4NDA3NjAyMzRa/a/MTQ4NDA2ODUxMDNa/submissions/by-status/and-sort-name/list
26,https://classroom.google.com/u/0/c/MTQ4NDA3NjAyMzRa/a/MTQ4NDA0NzMxMzNa/submissions/by-status/and-sort-name/list
27,https://classroom.google.com/u/0/c/MTQ4NDA3NjAyMzRa/a/MTQ4NDA2NTcxMTla/submissions/by-status/and-sort-name/list
28,https://classroom.google.com/u/0/c/MTQ4NDA3NjAyMzRa/a/MTQ4Mzg0NzAwMTZa/submissions/by-status/and-sort-name/list
29,https://classroom.google.com/u/0/c/MTQ4NDA3NjAyMzRa/a/MTQ4NDA2OTczODla/submissions/by-status/and-sort-name/list
30,https://classroom.google.com/u/0/c/MTQ4NDA3NjAyMzRa/a/MTQ4NDA4MTIxMjVa/submissions/by-status/and-sort-name/list
Opt_1,https://classroom.google.com/u/0/c/MTQ4NDA3NjAyMzRa/a/MTQ4NDA3MDQ4ODFa/submissions/by-status/and-sort-name/list
Opt_2,https://classroom.google.com/u/0/c/MTQ4NDA3NjAyMzRa/a/MTQ4NDA2Njg2OTVa/submissions/by-status/and-sort-name/list
