Assignment_Number, Assignment_URL
1,https://classroom.google.com/u/0/c/MTE4ODYyNjIwNDda/a/MTE4OTA1NTMwMjda/submissions/by-status/and-sort-name/list
2,https://classroom.google.com/u/0/c/MTE4ODYyNjIwNDda/a/MTIwMDc2ODQ0MDVa/submissions/by-status/and-sort-name/list
3,https://classroom.google.com/u/0/c/MTE4ODYyNjIwNDda/a/MTIwMDYzNDc1NTRa/submissions/by-status/and-sort-name/list
4,https://classroom.google.com/u/0/c/MTE4ODYyNjIwNDda/a/MTIwNjQzOTgxNjFa/submissions/by-status/and-sort-name/list
5,https://classroom.google.com/u/0/c/MTE4ODYyNjIwNDda/a/MTQyOTc4NzgwODJa/submissions/by-status/and-sort-name/done
6,https://classroom.google.com/u/0/c/MTE4ODYyNjIwNDda/a/MTQzNjUyNzQ2NTZa/submissions/by-status/and-sort-name/done
7,https://classroom.google.com/u/0/c/MTE4ODYyNjIwNDda/a/MTQ0MzQ3MTk5MTRa/submissions/by-status/and-sort-name/done
8,https://classroom.google.com/u/0/c/MTE4ODYyNjIwNDda/a/MTQ0NDk3MjgxMDBa/submissions/by-status/and-sort-name/done
9,https://classroom.google.com/c/MTE4ODYyNjIwNDda/a/MTQ0NDk1MDUyNDla/submissions/by-status/and-sort-name/all
10,https://classroom.google.com/c/MTE4ODYyNjIwNDda/a/MTQ0NTAwMjQ1NzJa/submissions/by-status/and-sort-name/all
11,https://classroom.google.com/c/MTE4ODYyNjIwNDda/a/MTQ0NDg1MjY4NTRa/submissions/by-status/and-sort-name/all
12,https://classroom.google.com/c/MTE4ODYyNjIwNDda/a/MTQ0NDkzNDMzMDha/submissions/by-status/and-sort-name/all
13,https://classroom.google.com/c/MTE4ODYyNjIwNDda/a/MTQ0NDk1NDU1MDBa/submissions/by-status/and-sort-name/all
14,https://classroom.google.com/c/MTE4ODYyNjIwNDda/a/MTQ3NzA2NDA2Mjla/submissions/by-status/and-sort-name/all
15,https://classroom.google.com/c/MTE4ODYyNjIwNDda/a/MTQ0NDk2NjExMTJa/submissions/by-status/and-sort-name/all
16,https://classroom.google.com/c/MTE4ODYyNjIwNDda/a/MTQ0NDkzNTY4NTFa/submissions/by-status/and-sort-name/all
17,https://classroom.google.com/c/MTE4ODYyNjIwNDda/a/MTQ0NTAxNjkwNjBa/submissions/by-status/and-sort-name/all
18,https://classroom.google.com/c/MTE4ODYyNjIwNDda/a/MTQ0NDkxNTc0ODRa/submissions/by-status/and-sort-name/all
19,https://classroom.google.com/c/MTE4ODYyNjIwNDda/a/MTQ0NTAwODQwOTRa/submissions/by-status/and-sort-name/all
20,https://classroom.google.com/c/MTE4ODYyNjIwNDda/a/MTQ0NDk4NDY5Njha/submissions/by-status/and-sort-name/all
21,https://classroom.google.com/c/MTE4ODYyNjIwNDda/a/MTQ1NjgzNjk5OTNa/submissions/by-status/and-sort-name/all
22,https://classroom.google.com/c/MTE4ODYyNjIwNDda/a/MTQ1NjgyMzk1MjZa/submissions/by-status/and-sort-name/all
23,https://classroom.google.com/c/MTE4ODYyNjIwNDda/a/MTQ1NjgyNTU0OTVa/submissions/by-status/and-sort-name/all
24,https://classroom.google.com/c/MTE4ODYyNjIwNDda/a/MTQ1Njc4NjEwMzZa/submissions/by-status/and-sort-name/all
25,https://classroom.google.com/c/MTE4ODYyNjIwNDda/a/MTQ1Njc4NjUzMDda/submissions/by-status/and-sort-name/all
26,https://classroom.google.com/c/MTE4ODYyNjIwNDda/a/MTQ1NjYxNzkzNTJa/submissions/by-status/and-sort-name/all
27,https://classroom.google.com/c/MTE4ODYyNjIwNDda/a/MTQ1Njc4NjI0MTha/submissions/by-status/and-sort-name/all
28,https://classroom.google.com/c/MTE4ODYyNjIwNDda/a/MTQ1Njc3OTgwNzNa/submissions/by-status/and-sort-name/all
29,https://classroom.google.com/c/MTE4ODYyNjIwNDda/a/MTQ1Njg5NDExNjha/submissions/by-status/and-sort-name/all
30,https://classroom.google.com/c/MTE4ODYyNjIwNDda/a/MTQ1NjcwMDE3NDla/submissions/by-status/and-sort-name/all
Opt_1,https://classroom.google.com/u/0/c/MTE4ODYyNjIwNDda/a/MTE5NTk1NTI2Mzda/submissions/by-status/and-sort-name/list
Opt_2,https://classroom.google.com/u/0/c/MTE4ODYyNjIwNDda/a/MTQ0MzQyMzMwNjJa/submissions/by-status/and-sort-name/list
