Assignment_Number, Assignment_URL
1,https://classroom.google.com/u/0/c/MTQ5ODQwNjA0MzBa/a/MTQ5ODQxMjU0OTRa/submissions/by-status/and-sort-name/list
2,https://classroom.google.com/u/0/c/MTQ5ODQwNjA0MzBa/a/MTQ5ODA1MTcxNDla/submissions/by-status/and-sort-name/list
3,https://classroom.google.com/u/0/c/MTQ5ODQwNjA0MzBa/a/MTQ5ODQxMzgxMjZa/submissions/by-status/and-sort-name/list
4,https://classroom.google.com/u/0/c/MTQ5ODQwNjA0MzBa/a/MTQ5ODM0NzQwNjFa/submissions/by-status/and-sort-name/list
5,https://classroom.google.com/u/0/c/MTQ5ODQwNjA0MzBa/a/MTQ5ODQwOTcwOTRa/submissions/by-status/and-sort-name/list
6,https://classroom.google.com/u/0/c/MTQ5ODQwNjA0MzBa/a/MTQ5ODI0NTc3NTVa/submissions/by-status/and-sort-name/list
7,https://classroom.google.com/u/0/c/MTQ5ODQwNjA0MzBa/a/MTQ5ODQwNzQ1ODNa/submissions/by-status/and-sort-name/all
8,https://classroom.google.com/u/0/c/MTQ5ODQwNjA0MzBa/a/MTQ5ODAxNzM0ODJa/submissions/by-status/and-sort-name/all
9,https://classroom.google.com/u/0/c/MTQ5ODQwNjA0MzBa/a/MTQ5ODQwMjgwMjNa/submissions/by-status/and-sort-name/list
10,https://classroom.google.com/u/0/c/MTQ5ODQwNjA0MzBa/a/MTQ5ODQxNDA4Mzda/submissions/by-status/and-sort-name/list
11,https://classroom.google.com/u/0/c/MTQ5ODQwNjA0MzBa/a/MTQ5ODQwNjY5ODha/submissions/by-status/and-sort-name/list
12,https://classroom.google.com/u/0/c/MTQ5ODQwNjA0MzBa/a/MTQ5ODQyMzU0OTRa/submissions/by-status/and-sort-name/list
13,https://classroom.google.com/u/0/c/MTQ5ODQwNjA0MzBa/a/MTQ5ODM5Mzc0MjBa/submissions/by-status/and-sort-name/list
14,https://classroom.google.com/u/0/c/MTQ5ODQwNjA0MzBa/a/MTQ5ODMyNzQwODRa/submissions/by-status/and-sort-name/list
15,https://classroom.google.com/u/0/c/MTQ5ODQwNjA0MzBa/a/MTQ5ODQxMDM4MzVa/submissions/by-status/and-sort-name/list
16,https://classroom.google.com/u/0/c/MTQ5ODQwNjA0MzBa/a/MTQ5ODMwODc4ODda/submissions/by-status/and-sort-name/list
17,https://classroom.google.com/u/0/c/MTQ5ODQwNjA0MzBa/a/MTQ5ODQyNzk4NjRa/submissions/by-status/and-sort-name/list
18,https://classroom.google.com/u/0/c/MTQ5ODQwNjA0MzBa/a/MTQ5ODM3NDM3MzNa/submissions/by-status/and-sort-name/list
19,https://classroom.google.com/u/0/c/MTQ5ODQwNjA0MzBa/a/MTQ5ODM5ODk1ODla/submissions/by-status/and-sort-name/list
20,https://classroom.google.com/u/0/c/MTQ5ODQwNjA0MzBa/a/MTQ5ODQyOTc1Mzda/submissions/by-status/and-sort-name/list
21,https://classroom.google.com/u/0/c/MTQ5ODQwNjA0MzBa/a/MTQ5ODQwNTQyMzla/submissions/by-status/and-sort-name/list
22,https://classroom.google.com/u/0/c/MTQ5ODQwNjA0MzBa/a/MTQ5ODMzOTUwODJa/submissions/by-status/and-sort-name/list
23,https://classroom.google.com/u/0/c/MTQ5ODQwNjA0MzBa/a/MTQ5ODQzMDg4MTFa/submissions/by-status/and-sort-name/list
24,https://classroom.google.com/u/0/c/MTQ5ODQwNjA0MzBa/a/MTQ5ODQzNTY5NTJa/submissions/by-status/and-sort-name/list
25,https://classroom.google.com/u/0/c/MTQ5ODQwNjA0MzBa/a/MTQ5ODQyOTQ0OTVa/submissions/by-status/and-sort-name/list
26,https://classroom.google.com/u/0/c/MTQ5ODQwNjA0MzBa/a/MTQ5ODM5MzcwMTBa/submissions/by-status/and-sort-name/list
27,https://classroom.google.com/u/0/c/MTQ5ODQwNjA0MzBa/a/MTQ5ODQyNTE2NTJa/submissions/by-status/and-sort-name/list
28,https://classroom.google.com/u/0/c/MTQ5ODQwNjA0MzBa/a/MTQ5ODQxNjExNDFa/submissions/by-status/and-sort-last-name/all
29,https://classroom.google.com/u/0/c/MTQ5ODQwNjA0MzBa/a/MTQ5ODQyMzc3NzFa/submissions/by-status/and-sort-name/list
30,https://classroom.google.com/u/0/c/MTQ5ODQwNjA0MzBa/a/MTQ5ODMwNzYwODBa/submissions/by-status/and-sort-name/list
Opt_1,https://classroom.google.com/u/0/c/MTQ5ODQwNjA0MzBa/a/MTQ5ODQxNzMwNDha/submissions/by-status/and-sort-name/list
Opt_2,https://classroom.google.com/u/0/c/MTQ5ODQwNjA0MzBa/a/MTQ5ODQyMDAwNDVa/submissions/by-status/and-sort-name/list
