Assignment_Number, Assignment_URL
1,https://classroom.google.com/u/0/c/MTY1NzY5NjU4MzFa/a/MTY1Nzc1ODYxODla/submissions/by-status/and-sort-name/list
2,https://classroom.google.com/u/0/c/MTY1NzY5NjU4MzFa/a/MTY1Nzc4MTY0NDFa/submissions/by-status/and-sort-name/list
3,https://classroom.google.com/u/0/c/MTY1NzY5NjU4MzFa/a/MTY1NzgwNDg2OTRa/submissions/by-status/and-sort-name/list
4,https://classroom.google.com/u/0/c/MTY1NzY5NjU4MzFa/a/MTY1Nzc0MTA5MTFa/submissions/by-status/and-sort-name/list
5,https://classroom.google.com/u/0/c/MTY1NzY5NjU4MzFa/a/MTY1Nzc1NzI1MjFa/submissions/by-status/and-sort-name/list
6,https://classroom.google.com/u/0/c/MTY1NzY5NjU4MzFa/a/MTY1NzY0ODAyODha/submissions/by-status/and-sort-name/list
7,https://classroom.google.com/u/0/c/MTY1NzY5NjU4MzFa/a/MTY1Nzc3NjAxNzNa/submissions/by-status/and-sort-name/list
8,https://classroom.google.com/u/0/c/MTY1NzY5NjU4MzFa/a/MTY1Nzc2OTgxODla/submissions/by-status/and-sort-name/all
9,https://classroom.google.com/u/0/c/MTY1NzY5NjU4MzFa/a/MTY1NzcwNDcyOTZa/submissions/by-status/and-sort-name/list
10,https://classroom.google.com/u/0/c/MTY1NzY5NjU4MzFa/a/MTY1Nzc5ODA3MTNa/submissions/by-status/and-sort-name/list
11,https://classroom.google.com/u/0/c/MTY1NzY5NjU4MzFa/a/MTY1Nzc0NDkyMDJa/submissions/by-status/and-sort-name/list
12,https://classroom.google.com/u/0/c/MTY1NzY5NjU4MzFa/a/MTY1Nzc5MTIxODRa/submissions/by-status/and-sort-name/list
13,https://classroom.google.com/u/0/c/MTY1NzY5NjU4MzFa/a/MTY1NzczMTM5ODla/submissions/by-status/and-sort-name/all
14,https://classroom.google.com/u/0/c/MTY1NzY5NjU4MzFa/a/MTY1NzYyNDI2NjRa/submissions/by-status/and-sort-name/all
15,https://classroom.google.com/u/0/c/MTY1NzY5NjU4MzFa/a/MTY1NzczNzQxNTFa/submissions/by-status/and-sort-name/list
16,https://classroom.google.com/u/0/c/MTY1NzY5NjU4MzFa/a/MTY1NzgxNDA4NDZa/submissions/by-status/and-sort-name/all
17,https://classroom.google.com/u/0/c/MTY1NzY5NjU4MzFa/a/MTY1Nzc5NDY0Mjda/submissions/by-status/and-sort-last-name/all
18,https://classroom.google.com/u/0/c/MTY1NzY5NjU4MzFa/a/MTY1Nzc4OTUwNzda/submissions/by-status/and-sort-last-name/all
19,https://classroom.google.com/u/0/c/MTY1NzY5NjU4MzFa/a/MTY1NzYyMjY1MjRa/submissions/by-status/and-sort-name/list
20,https://classroom.google.com/u/0/c/MTY1NzY5NjU4MzFa/a/MTY1Nzc3NjMzMDVa/submissions/by-status/and-sort-name/list
21,https://classroom.google.com/u/0/c/MTY1NzY5NjU4MzFa/a/MTY1Nzc1ODQ1MzBa/submissions/by-status/and-sort-name/list
22,https://classroom.google.com/u/0/c/MTY1NzY5NjU4MzFa/a/MTY1Nzc2NDY0NDZa/submissions/by-status/and-sort-name/list
23,https://classroom.google.com/u/0/c/MTY1NzY5NjU4MzFa/a/MTY1Nzc4NzQxNDNa/submissions/by-status/and-sort-name/list
24,https://classroom.google.com/u/0/c/MTY1NzY5NjU4MzFa/a/MTY1Nzc4MzM5OTZa/submissions/by-status/and-sort-name/list
25,https://classroom.google.com/u/0/c/MTY1NzY5NjU4MzFa/a/MTY1Nzc5NTA2ODda/submissions/by-status/and-sort-name/list
26,https://classroom.google.com/u/0/c/MTY1NzY5NjU4MzFa/a/MTY1NzgwOTIxNDBa/submissions/by-status/and-sort-name/list
27,https://classroom.google.com/u/0/c/MTY1NzY5NjU4MzFa/a/MTY1NzY2MTY4MDla/submissions/by-status/and-sort-name/list
28,https://classroom.google.com/u/0/c/MTY1NzY5NjU4MzFa/a/MTY1NzcyMzAxMjla/submissions/by-status/and-sort-name/list
29,https://classroom.google.com/u/0/c/MTY1NzY5NjU4MzFa/a/MTY1NzYyNDM2Mzda/submissions/by-status/and-sort-name/list
30,https://classroom.google.com/u/0/c/MTY1NzY5NjU4MzFa/a/MTY1NzczMzU2MzFa/submissions/by-status/and-sort-name/list
Opt_1,https://classroom.google.com/u/0/c/MTY1NzY5NjU4MzFa/a/MTY1Nzc2NjY4NDJa/submissions/by-status/and-sort-name/list
Opt_2,https://classroom.google.com/u/0/c/MTY1NzY5NjU4MzFa/a/MTY1Nzc5NDY0NDFa/submissions/by-status/and-sort-name/list
