Assignment_Number, Assignment_URL
1,https://classroom.google.com/u/0/c/MTQzNjMxNzIxMTBa/a/MTQ0MzE1NDA3NDRa/submissions/by-status/and-sort-name/list
2,https://classroom.google.com/u/0/c/MTQzNjMxNzIxMTBa/a/MTQ0NDkxODM4NTZa/submissions/by-status/and-sort-name/list
3,https://classroom.google.com/u/0/c/MTQzNjMxNzIxMTBa/a/MTQ0NTA4NjQ3NTda/submissions/by-status/and-sort-name/list
4,https://classroom.google.com/u/0/c/MTQzNjMxNzIxMTBa/a/MTQ0NDk1NTM3MzVa/submissions/by-status/and-sort-name/list
5,https://classroom.google.com/u/0/c/MTQzNjMxNzIxMTBa/a/MTQ0NDkwNTQ4ODVa/submissions/by-status/and-sort-name/list
6,https://classroom.google.com/u/0/c/MTQzNjMxNzIxMTBa/a/MTQ0NDk5MzkwNzVa/submissions/by-status/and-sort-name/list
7,https://classroom.google.com/u/0/c/MTQzNjMxNzIxMTBa/a/MTQ0NDk1MDc0Nzda/submissions/by-status/and-sort-name/list
8,https://classroom.google.com/u/0/c/MTQzNjMxNzIxMTBa/a/MTQ0NTA4NTk2MjRa/submissions/by-status/and-sort-name/list
9,https://classroom.google.com/u/0/c/MTQzNjMxNzIxMTBa/a/MTQ0NTAxODY3NjZa/submissions/by-status/and-sort-name/list
10,https://classroom.google.com/u/0/c/MTQzNjMxNzIxMTBa/a/MTQ0NTA2MTc0MzNa/submissions/by-status/and-sort-name/list
11,https://classroom.google.com/u/0/c/MTQzNjMxNzIxMTBa/a/MTQ0NTA0Mzc2NDBa/submissions/by-status/and-sort-last-name/all
12,https://classroom.google.com/u/0/c/MTQzNjMxNzIxMTBa/a/MTQ0NTA0MjYyNjVa/submissions/by-status/and-sort-name/list
13,https://classroom.google.com/u/0/c/MTQzNjMxNzIxMTBa/a/MTQ0NDkxODM4NTla/submissions/by-status/and-sort-name/list
14,https://classroom.google.com/u/0/c/MTQzNjMxNzIxMTBa/a/MTQ0NDk2NDQwOTZa/submissions/by-status/and-sort-name/list
15,https://classroom.google.com/u/0/c/MTQzNjMxNzIxMTBa/a/MTQ0NTA1MzU2ODRa/submissions/by-status/and-sort-name/list
16,https://classroom.google.com/u/0/c/MTQzNjMxNzIxMTBa/a/MTQ0NTA2ODQwNTVa/submissions/by-status/and-sort-name/list
17,https://classroom.google.com/u/0/c/MTQzNjMxNzIxMTBa/a/MTQ0NTA2ODQ3MzVa/submissions/by-status/and-sort-name/list
18,https://classroom.google.com/u/0/c/MTQzNjMxNzIxMTBa/a/MTQ0NDY5MTUzNzBa/submissions/by-status/and-sort-name/list
19,https://classroom.google.com/u/0/c/MTQzNjMxNzIxMTBa/a/MTQ0NTA2Mzc4MzBa/submissions/by-status/and-sort-name/list
20,https://classroom.google.com/u/0/c/MTQzNjMxNzIxMTBa/a/MTQ0NTA4NTA5NDFa/submissions/by-status/and-sort-name/list
21,https://classroom.google.com/u/0/c/MTQzNjMxNzIxMTBa/a/MTQ1NjgzNjk5OTBa/submissions/by-status/and-sort-name/list
22,https://classroom.google.com/u/0/c/MTQzNjMxNzIxMTBa/a/MTQ1NjgyMzk1MjNa/submissions/by-status/and-sort-name/list
23,https://classroom.google.com/u/0/c/MTQzNjMxNzIxMTBa/a/MTQ1NjgyNTU0OTJa/submissions/by-status/and-sort-name/list
24,https://classroom.google.com/u/0/c/MTQzNjMxNzIxMTBa/a/MTQ1Njc4NjEwMzNa/submissions/by-status/and-sort-name/list
25,https://classroom.google.com/u/0/c/MTQzNjMxNzIxMTBa/a/MTQ1Njc4NjUzMDRa/submissions/by-status/and-sort-name/list
26,https://classroom.google.com/u/0/c/MTQzNjMxNzIxMTBa/a/MTQ1NjYxNzkzNDla/submissions/by-status/and-sort-name/list
27,https://classroom.google.com/u/0/c/MTQzNjMxNzIxMTBa/a/MTQ1Njc4NjI0MTVa/submissions/by-status/and-sort-name/list
28,https://classroom.google.com/u/0/c/MTQzNjMxNzIxMTBa/a/MTQ1Njc3OTgwNzBa/submissions/by-status/and-sort-name/list
29,https://classroom.google.com/u/0/c/MTQzNjMxNzIxMTBa/a/MTQ1NjgzMzIwNTda/submissions/by-status/and-sort-name/list
30,https://classroom.google.com/u/0/c/MTQzNjMxNzIxMTBa/a/MTQ1NjcwMDE3NDZa/submissions/by-status/and-sort-name/list
Opt_1,https://classroom.google.com/u/0/c/MTQzNjMxNzIxMTBa/a/MTQ0MzM2NjcwMTla/submissions/by-status/and-sort-name/list
Opt_2,https://classroom.google.com/u/0/c/MTQzNjMxNzIxMTBa/a/MTQ0MzQyMzMwNTha/submissions/by-status/and-sort-name/list
